variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
C.1.2,18485,8.92612067420258e-35,9.392821816433347e-34,NA,-1.7516980405991187e-33,1.9302204540831704e-33,2020-08-11,2511,NA,4822.682315227365,NA
Other,18485,0.9836835143461529,0.0018196581640330747,NA,0.9801170498804738,0.987249978811832,2020-08-11,2511,2470.0293045231897,4822.682315227365,4743.993088417895
Omicron,18485,1.9512393839744645e-36,1.0817297482955612e-35,NA,-1.925027409267431e-35,2.3152752860623238e-35,2020-08-11,2511,NA,4822.682315227365,NA
Delta,18486,9.170319630190863e-27,3.2123579669056936e-26,NA,-5.379073957566383e-26,7.213137883604554e-26,2020-08-12,2810,NA,4558.145798649386,NA
Beta,18486,0.017353238943145534,0.0019114996595831972,NA,0.013606768453901895,0.021099709432389174,2020-08-12,2810,48.76260143023895,4558.145798649386,79.09859318165773
Alpha,18486,9.167605352623348e-12,2.6193047892854243e-11,NA,-4.216982516270371e-11,6.050503586795041e-11,2020-08-12,2810,NA,4558.145798649386,NA
C.1.2,18486,1.3823879940743906e-34,1.446157585769708e-33,NA,-2.6961779846705822e-33,2.9726555834854604e-33,2020-08-12,2810,NA,4558.145798649386,NA
Other,18486,0.9826467610476869,0.0019114996596603072,NA,0.9789002905582921,0.9863932315370817,2020-08-12,2810,2761.2373985440004,4558.145798649386,4479.047205425941
Omicron,18486,2.2181794263325342e-36,1.2283200205791357e-35,NA,-2.1856450591913497e-35,2.6292809444578564e-35,2020-08-12,2810,NA,4558.145798649386,NA
Delta,18487,1.3109910066000246e-26,4.5641799459971274e-26,NA,-7.634637306514313e-26,1.0256619319714361e-25,2020-08-13,3946,NA,4310.637791501585,NA
Beta,18487,0.018451120605161117,0.0020071848398122987,NA,0.014517110608814214,0.02238513060150802,2020-08-13,3946,72.80812190796577,4310.637791501585,79.5360977761611
Alpha,18487,1.0961260475311422e-11,3.109770412888731e-11,NA,-4.9989119619190224e-11,7.191164056981306e-11,2020-08-13,3946,NA,4310.637791501585,NA
C.1.2,18487,2.1390220131280334e-34,2.2245555043640106e-33,NA,-4.146146468850992e-33,4.573950871476598e-33,2020-08-13,3946,NA,4310.637791501585,NA
Other,18487,0.9815488793838776,0.0020071848399036496,NA,0.9776148693873516,0.9854828893804035,2020-08-13,3946,3873.191878048781,4310.637791501585,4231.101693678173
Omicron,18487,2.5219303570292366e-36,1.3949545206469507e-35,NA,-2.481867584836435e-35,2.9862536562422816e-35,2020-08-13,3946,NA,4310.637791501585,NA
Delta,18488,1.8728062907408237e-26,6.479903110269246e-26,NA,-1.0827570428695972e-25,1.457318301017762e-25,2020-08-14,6275,NA,4079.8582539725853,NA
Beta,18488,0.019613323427277247,0.0021068107196722556,NA,0.015484050294476715,0.02374259656007778,2020-08-14,6275,123.07360450616473,4079.8582539725853,80.01957947261096
Alpha,18488,1.3099308730064822e-11,3.69011245699213e-11,NA,-5.9225566416007e-11,8.542418387613666e-11,2020-08-14,6275,NA,4079.8582539725853,NA
C.1.2,18488,3.306853238539705e-34,3.4188116113128474e-33,NA,-6.370062304246559e-33,7.0314329519545e-33,2020-08-14,6275,NA,4079.8582539725853,NA
Other,18488,0.9803866765596234,0.00210681071978027,NA,0.9762574034266112,0.9845159496926357,2020-08-14,6275,6151.926395411637,4079.8582539725853,3999.838674446531
Omicron,18488,2.8676014147563762e-36,1.5843943248593647e-35,NA,-2.8185956725583707e-35,3.392115955509646e-35,2020-08-14,6275,NA,4079.8582539725853,NA
Delta,18489,2.673378841061039e-26,9.192586430575601e-26,NA,-1.5343759487638747e-25,2.0690517169760823e-25,2020-08-15,4513,NA,3865.4076530659713,NA
Beta,18489,0.020843169873699535,0.0022104710272909116,NA,0.016510726271340093,0.025175613476058976,2020-08-15,4513,94.065225640006,3865.4076530659713,80.56734834395228
Alpha,18489,1.5646485412316063e-11,4.376399971286251e-11,NA,-7.01293778443157e-11,1.0142234866894782e-10,2020-08-15,4513,NA,3865.4076530659713,NA
C.1.2,18489,5.107697270252745e-34,5.249374165973291e-33,NA,-9.777814579657359e-33,1.0799354033707906e-32,2020-08-15,4513,NA,3865.4076530659713,NA
Other,18489,0.979156830110654,0.002210471027416957,NA,0.9748243865080475,0.9834892737132606,2020-08-15,4513,4418.9347742893815,3865.4076530659713,3784.840304661539
Omicron,18489,3.261014094110036e-36,1.7997828048729706e-35,NA,-3.201408068134498e-35,3.853610886956505e-35,2020-08-15,4513,NA,3865.4076530659713,NA
Delta,18490,3.8132841922130935e-26,1.3030672822429712e-25,NA,-2.172636523407403e-25,2.9352933618500216e-25,2020-08-16,3692,NA,3666.8122716860535,NA
Beta,18490,0.022144113756851165,0.002318255524104241,NA,0.01760041642264583,0.0266878110910565,2020-08-16,3692,81.7560679902945,3666.8122716860535,81.1983080692338
Alpha,18490,1.8679400834191294e-11,5.187494092562498e-11,NA,-8.299361508017654e-11,1.2035241674855911e-10,2020-08-16,3692,NA,3666.8122716860535,NA
C.1.2,18490,7.882102187815974e-34,8.052604857803444e-33,NA,-1.4994605284245435e-32,1.6571025721808627e-32,2020-08-16,3692,NA,3666.8122716860535,NA
Other,18490,0.9778558862244694,0.002318255524254636,NA,0.9733121888899693,0.9823995835589695,2020-08-16,3692,3610.243931940741,3666.8122716860535,3585.6139635483255
Omicron,18490,3.708801584687277e-36,2.0446986710972856e-35,NA,-3.636655596118861e-35,4.378415913056316e-35,2020-08-16,3692,NA,3666.8122716860535,NA
Delta,18491,5.43507204006368e-26,1.845662320142608e-25,NA,-3.073924471095778e-25,4.160938879108514e-25,2020-08-17,2541,NA,3483.506185586341,NA
Beta,18491,0.023519741523615443,0.0024302492749156603,NA,0.018756540471326168,0.028282942575904718,2020-08-17,2541,59.76366321150684,3483.506185586341,81.93116508090631
Alpha,18491,2.2288657362179443e-11,6.145517008999128e-11,NA,-9.81612626779866e-11,1.4273857740234547e-10,2020-08-17,2541,NA,3483.506185586341,NA
C.1.2,18491,1.215239018078302e-33,1.234120985624439e-32,NA,-2.2973087825811434e-32,2.540356586196804e-32,2020-08-17,2541,NA,3483.506185586341,NA
Other,18491,0.9764802584540958,0.002430249275095322,NA,0.9717170574014544,0.9812434595067372,2020-08-17,2541,2481.2363367318576,3483.506185586341,3401.5750204277915
Omicron,18491,4.218522059857077e-36,2.3232163618417737e-35,NA,-4.131568191518342e-35,4.975272603489757e-35,2020-08-17,2541,NA,3483.506185586341,NA
Delta,18492,7.740611496915278e-26,2.6121026448224215e-25,NA,-4.345565958082238e-25,5.893688257465294e-25,2020-08-18,2258,NA,3314.4642854544013,NA
Beta,18492,0.024973773095751675,0.0025465318671416596,NA,0.019982662350670484,0.029964883840832866,2020-08-18,2258,56.390779650207286,3314.4642854544013,82.77467899891093
Alpha,18492,2.6581331172413597e-11,7.276396493084043e-11,NA,-1.1603341946436914e-10,1.6919608180919634e-10,2020-08-18,2258,NA,3314.4642854544013,NA
C.1.2,18492,1.8718888314721686e-33,1.8895895914434144e-32,NA,-3.516338661643629e-32,3.8907164279380634e-32,2020-08-18,2258,NA,3314.4642854544013,NA
Other,18492,0.9750262268776669,0.0025465318673522186,NA,0.9700351161321731,0.9800173376231608,2020-08-18,2258,2201.609220289772,3314.4642854544013,3231.689606367387
Omicron,18492,4.798787729848297e-36,2.639974788188665e-35,NA,-4.6943767319587104e-35,5.65413427792837e-35,2020-08-18,2258,NA,3314.4642854544013,NA
Delta,18493,1.1015529064275716e-25,3.6938311583673537e-25,NA,-6.138223128944308e-25,8.341328941799452e-25,2020-08-19,3916,NA,3158.474051105655,NA
Beta,18493,0.02651006220797931,0.0026671765788962272,NA,0.021282492172933952,0.031737632243024665,2020-08-19,3916,103.81340360644697,3158.474051105655,83.73134357709932
Alpha,18493,3.168387895305923e-11,8.610497554964274e-11,NA,-1.3707877201394243e-10,2.0044652992006092e-10,2020-08-19,3916,NA,3158.474051105655,NA
C.1.2,18493,2.8806666059401937e-33,2.890423465151541e-32,NA,-5.377059231172464e-32,5.953192552360502e-32,2020-08-19,3916,NA,3158.474051105655,NA
Other,18493,0.9734899377603368,0.0026671765791445646,NA,0.9682623677248047,0.9787175077958689,2020-08-19,3916,3812.1865962694787,3158.474051105655,3074.7427074284824
Omicron,18493,5.459411834825873e-36,3.000255581605903e-35,NA,-5.334451700880255e-35,6.426334067845429e-35,2020-08-19,3916,NA,3158.474051105655,NA
Delta,18494,1.5663607236472905e-25,5.219258295266822e-25,NA,-8.663197561087598e-25,1.1795919008382178e-24,2020-08-20,3880,NA,3014.4375971812415,NA
Beta,18494,0.028132596183816975,0.0027922494961551587,NA,0.022659887735502753,0.0336053046321312,2020-08-20,3880,109.15447319320987,3014.4375971812415,84.80395564281541
Alpha,18494,3.7745539202906696e-11,1.0183354413330122e-10,NA,-1.6184453971643377e-10,2.3733561812224713e-10,2020-08-20,3880,NA,3014.4375971812415,NA
C.1.2,18494,4.428904876791857e-33,4.417081866128182e-32,NA,-8.214430886697022e-32,9.100211862055392e-32,2020-08-20,3880,NA,3014.4375971812415,NA
Other,18494,0.9718674037784375,0.002792249496443154,NA,0.9663946953295588,0.9773401122273162,2020-08-20,3880,3770.8455266603373,3014.4375971812415,2929.6336414246443
Omicron,18494,6.211576049468095e-36,3.410072146465336e-35,NA,-6.062460986808444e-35,7.304776196702064e-35,2020-08-20,3880,NA,3014.4375971812415,NA
Delta,18495,2.2255157388430523e-25,7.368541684943443e-25,NA,-1.2216560582228178e-24,1.6667592059914283e-24,2020-08-21,3398,NA,2881.3638334179304,NA
Beta,18495,0.029845495085902618,0.0029218085796281963,NA,0.024118855500111225,0.03557213467169401,2020-08-21,3398,101.4149923018971,2881.3638334179304,85.99573013097238
Alpha,18495,4.49423085630818e-11,1.203651783770245e-10,NA,-1.909691060486254e-10,2.8085372317478903e-10,2020-08-21,3398,NA,2881.3638334179304,NA
C.1.2,18495,6.802770927150884e-33,6.743495627602155e-32,NA,-1.2536731467288461e-31,1.3897285652718638e-31,2020-08-21,3398,NA,2881.3638334179304,NA
Other,18495,0.970154504869155,0.002921808579965221,NA,0.9644278652827031,0.9758811444556069,2020-08-21,3398,3296.5850075453886,2881.3638334179304,2795.368103157463
Omicron,18495,7.068021105706549e-36,3.8762709952866193e-35,NA,-6.890549434508347e-35,8.304153655649657e-35,2020-08-21,3398,NA,2881.3638334179304,NA
Delta,18496,3.159497816339098e-25,1.0394204941438192e-24,NA,-1.7212769516808016e-24,2.3531765149486213e-24,2020-08-22,3707,NA,2758.3573232684926,NA
Beta,18496,0.03165301017442099,0.0030559026827411927,NA,0.02566355097598892,0.03764246937285305,2020-08-22,3707,117.3377087165786,2758.3573232684926,87.31031241810624
Alpha,18496,5.3481585953243955e-11,1.4218535007136624e-10,NA,-2.2519657931585342e-10,3.3215975122234133e-10,2020-08-22,3707,NA,2758.3573232684926,NA
C.1.2,18496,1.0438957441039782e-32,1.0285039266909734e-31,NA,-1.9114410798619336e-31,2.1202202286827294e-31,2020-08-22,3707,NA,2758.3573232684926,NA
Other,18496,0.9683469897720974,0.003055902683140875,NA,0.962357530572882,0.9743364489713129,2020-08-22,3707,3589.662291085165,2758.3573232684926,2671.047010702865
Omicron,18496,8.043263819812532e-36,4.4066470433152544e-35,NA,-7.832543115496559e-35,9.441195879459065e-35,2020-08-22,3707,NA,2758.3573232684926,NA
Delta,18497,4.481773565093359e-25,1.4649873244836013e-24,NA,-2.4231450372862156e-24,3.319499750304887e-24,2020-08-23,2728,NA,2644.6084040215483,NA
Beta,18497,0.03355952160429015,0.0031945705227371664,NA,0.02729827843365201,0.03982076477492828,2020-08-23,2728,91.55037493650352,2644.6084040215483,88.75179286964844
Alpha,18497,6.360759136207727e-11,1.6786081380413332e-10,NA,-2.653935581096079e-10,3.9260874083376246e-10,2020-08-23,2728,NA,2644.6084040215483,NA
C.1.2,18497,1.600316019913531e-32,1.5670886618918733e-31,NA,-2.9114057358977835e-31,3.23146893988049e-31,2020-08-23,2728,NA,2644.6084040215483,NA
Other,18497,0.9664404783321023,0.0031945705232049814,NA,0.9601792351605473,0.9727017215036574,2020-08-23,2728,2636.449624889975,2644.6084040215483,2555.856610983683
Omicron,18497,9.153844139577233e-36,5.010074763901743e-35,NA,-8.904181683142705e-35,1.073495051105815e-34,2020-08-23,2728,NA,2644.6084040215483,NA
Delta,18498,6.352169720225564e-25,2.063027968072842e-24,NA,-3.408243544499062e-24,4.678677488544175e-24,2020-08-24,1677,NA,2539.384417473166,NA
Beta,18498,0.035569535289214055,0.00333783960768305,NA,0.029027489871983975,0.042111580706444135,2020-08-24,1677,59.65011068001197,2539.384417473166,90.32472365019206
Alpha,18498,7.560768218278621e-11,1.9805266708066926e-10,NA,-3.1256841233742706e-10,4.6378377670299943e-10,2020-08-24,1677,NA,2539.384417473166,NA
C.1.2,18498,2.450909058879528e-32,2.385301787680478e-31,NA,-4.430014690224791e-31,4.920196502000696e-31,2020-08-24,1677,NA,2539.384417473166,NA
Other,18498,0.9644304646351783,0.0033378396082352044,NA,0.9578884192168661,0.9709725100534906,2020-08-24,1677,1617.349889193194,2539.384417473166,2449.0596936309776
Omicron,18498,1.0418606313326253e-35,5.696657360387324e-35,NA,-1.012338262729154e-34,1.2207103889956791e-34,2020-08-24,1677,NA,2539.384417473166,NA
Delta,18499,8.995605235620266e-25,2.902690475805371e-24,NA,-4.789608267283933e-24,6.588729314407986e-24,2020-08-25,1567,NA,2442.021919324105,NA
Beta,18499,0.03768767885849317,0.003485725123168064,NA,0.03085578315707732,0.044519574559909014,2020-08-25,1567,59.05659277125879,2442.021919324105,92.03413786088798
Alpha,18499,8.981970822769063e-11,2.3353140264895477e-10,NA,-3.678934302233824e-10,5.475328466787637e-10,2020-08-25,1567,NA,2442.021919324105,NA
C.1.2,18499,3.749875457197135e-32,3.627025183264491e-31,NA,-6.733851184498477e-31,7.483826275937903e-31,2020-08-25,1567,NA,2442.021919324105,NA
Other,18499,0.9623123210516871,0.0034857251238144178,NA,0.9554804253490043,0.9691442167543698,2020-08-25,1567,1507.9434070879936,2442.021919324105,2349.9877812438754
Omicron,18499,1.1859018832087586e-35,6.477896397524551e-35,NA,-1.1510541751521119e-34,1.3882345517938638e-34,2020-08-25,1567,NA,2442.021919324105,NA
Delta,18500,1.2728302495885214e-24,4.0805276000355876e-24,NA,-6.72485688440289e-24,9.270517383579934e-24,2020-08-26,2684,NA,2351.9197520644666,NA
Beta,18500,0.039918696630800034,0.003638228783244537,NA,0.03278789924812376,0.04704949401347631,2020-08-26,2684,107.14178175706729,2351.9197520644666,93.88557108264787
Alpha,18500,1.0664056726545043e-10,2.751942367226776e-10,NA,-4.327302254639875e-10,6.460113599948883e-10,2020-08-26,2684,NA,2351.9197520644666,NA
C.1.2,18500,5.731522318561496e-32,5.50947873732559e-31,NA,-1.0225227666891219e-30,1.1371532130603517e-30,2020-08-26,2684,NA,2351.9197520644666,NA
Other,18500,0.9600813032625595,0.003638228784006396,NA,0.95295050587839,0.9672121006467289,2020-08-26,2684,2576.8582179567097,2351.9197520644666,2258.0341807310087
Omicron,18500,1.3499538417426672e-35,7.366884660022364e-35,NA,-1.3088874770161763e-34,1.5788782453647097e-34,2020-08-26,2684,NA,2351.9197520644666,NA
Delta,18501,1.799442578592728e-24,5.731224424739326e-24,NA,-9.433550881212637e-24,1.3032436038398094e-23,2020-08-27,2585,NA,2268.532880513643,NA
Beta,18501,0.0422674435280571,0.003795337651469372,NA,0.0348287184220083,0.0497061686341059,2020-08-27,2585,109.2613415200276,2268.532880513643,95.8850854186511
Alpha,18501,1.265361463875526e-10,3.2408503343217435e-10,NA,-5.086588470679683e-10,7.617311398430735e-10,2020-08-27,2585,NA,2268.532880513643,NA
C.1.2,18501,8.751486608285496e-32,8.360231323933812e-31,NA,-1.5510603636505333e-30,1.7260900958162433e-30,2020-08-27,2585,NA,2268.532880513643,NA
Other,18501,0.9577325563454068,0.003795337652360137,NA,0.9502938312376121,0.9651712814532014,2020-08-27,2585,2475.7386581528767,2268.532880513643,2172.6477948079405
Omicron,18501,1.5368024029276038e-35,8.378525372260022e-35,NA,-1.4884805570257084e-34,1.7958410376112292e-34,2020-08-27,2585,NA,2268.532880513643,NA
Delta,18502,2.5417241288844038e-24,8.042469923908724e-24,NA,-1.3221227268723281e-23,1.8304675526492088e-23,2020-08-28,1846,NA,2191.366901706815,NA
Beta,18502,0.0447388778522007,0.003957022938724937,NA,0.036983255406300986,0.05249450029810042,2020-08-28,1846,82.5879685151625,2191.366901706815,98.0392961448167
Alpha,18502,1.500528610405247e-10,3.814171865176933e-10,NA,-5.975110876187502e-10,8.976168096997996e-10,2020-08-28,1846,NA,2191.366901706815,NA
C.1.2,18502,1.3348961803594037e-31,1.2672694567663872e-30,NA,-2.3503128759338168e-30,2.617292112005698e-30,2020-08-28,1846,NA,2191.366901706815,NA
Other,18502,0.9552611219977464,0.0039570229397790126,NA,0.9475054995497807,0.9630167444457121,2020-08-28,1846,1763.4120312078398,2191.366901706815,2093.327605233177
Omicron,18502,1.749620766062778e-35,9.52978132678436e-35,NA,-1.6928407414976894e-34,2.042764894710245e-34,2020-08-28,1846,NA,2191.366901706815,NA
Delta,18503,3.587047795446495e-24,1.1275550381835825e-23,NA,-1.851262485881857e-23,2.568672044971156e-23,2020-08-29,2419,NA,2119.973151718114,NA
Beta,18503,0.04733805284810272,0.004123238786077815,NA,0.03925665332773155,0.055419452368473884,2020-08-29,2419,114.51074983956048,2119.973151718114,100.35540109259097
Alpha,18503,1.7783103349590369e-10,4.4859986433773444e-10,NA,-7.014085440756097e-10,1.0570706110674172e-9,2020-08-29,2419,NA,2119.973151718114,NA
C.1.2,18503,2.034051675811341e-31,1.918922730197821e-30,NA,-3.557614272721865e-30,3.964424607884133e-30,2020-08-29,2419,NA,2119.973151718114,NA
Other,18503,0.9526619469740663,0.004123238787299881,NA,0.9445805474512999,0.9607433464968326,2020-08-29,2419,2304.4892497302662,2119.973151718114,2019.617750248526
Omicron,18503,1.9920229580528675e-35,1.0839957935726299e-34,NA,-1.9253904189899822e-34,2.3237950106005557e-34,2020-08-29,2419,NA,2119.973151718114,NA
Delta,18504,5.0577757969090785e-24,1.5793834175706486e-23,NA,-2.5897570365273475e-23,3.601312195909163e-23,2020-08-30,2505,NA,2053.944341505393,NA
Beta,18504,0.05007010697741713,0.0042939210418406456,NA,0.041654176382950756,0.058486037571883503,2020-08-30,2505,125.42561797842991,2053.944341505393,102.8412129048356
Alpha,18504,2.1062038623669419e-10,5.272680740277803e-10,NA,-8.228060490555541e-10,1.2440468215289424e-9,2020-08-30,2505,NA,2053.944341505393,NA
C.1.2,18504,3.0961374809796215e-31,2.9025433573751754e-30,NA,-5.379266695923351e-30,5.9984941921192756e-30,2020-08-30,2505,NA,2053.944341505393,NA
Other,18504,0.9499298928119625,0.004293921043277047,NA,0.9415139622146809,0.9583458234092441,2020-08-30,2505,2379.574381493966,2053.944341505393,1951.1031281679548
Omicron,18504,2.2681246696122606e-35,1.233102474530022e-34,NA,-2.1900239723648362e-34,2.6436489062872882e-34,2020-08-30,2505,NA,2053.944341505393,NA
Delta,18505,7.125098584381583e-24,2.2102127033602218e-23,NA,-3.619427438320786e-23,5.044447155197102e-23,2020-08-31,1985,NA,1992.9106621421222,NA
Beta,18505,0.05294025283066949,0.004468986043750288,NA,0.04418120113750679,0.061699304523832196,2020-08-31,1985,105.08640186887894,1992.9106621421222,105.50519432274089
Alpha,18505,2.492979636087233e-10,6.193170554419192e-10,NA,-9.645411600688339e-10,1.4631370872862804e-9,2020-08-31,1985,NA,1992.9106621421222,NA
C.1.2,18505,4.707790109602677e-31,4.385583908802503e-30,NA,-8.124807501471028e-30,9.066365523391564e-30,2020-08-31,1985,NA,1992.9106621421222,NA
Other,18505,0.9470597469200326,0.00446898604543421,NA,0.9383006952235694,0.9558187986164958,2020-08-31,1985,1879.9135976362647,1992.9106621421222,1887.4054673225528
Omicron,18505,2.582612384269749e-35,1.4027980546391183e-34,NA,-2.4911724262485474e-34,3.0076949031024973e-34,2020-08-31,1985,NA,1992.9106621421222,NA
Delta,18506,1.0028274632220452e-23,3.090098342901632e-23,NA,-5.053653997552053e-23,7.059308923996144e-23,2020-09-01,1218,NA,1936.53630703141,NA
Beta,18506,0.0559537646087865,0.004648329418110568,NA,0.04684320636101177,0.06506432285656125,2020-09-01,1218,68.15168529350196,1936.53630703141,108.35649668000421
Alpha,18506,2.9488883753696587e-10,7.26941575669536e-10,NA,-1.1298904696401226e-9,1.7196681447140544e-9,2020-09-01,1218,NA,1936.53630703141,NA
C.1.2,18506,7.150679201367836e-31,6.619090112164988e-30,NA,-1.2258110310131775e-29,1.3688246150405344e-029,2020-09-01,1218,NA,1936.53630703141,NA
Other,18506,0.9440462350963247,0.004648329420080397,NA,0.9349356768446891,0.9531567933479602,2020-09-01,1218,1149.8483143473234,1936.53630703141,1828.1798097803428
Omicron,18506,2.9408219093811265e-35,1.5959267882136075e-34,NA,-2.83387683592324e-34,3.422041217799465e-34,2020-09-01,1218,NA,1936.53630703141,NA
Delta,18507,1.410134869001897e-23,4.3161570109953567e-23,NA,-7.04937742416905e-23,9.869647162172845e-23,2020-09-02,2336,NA,1884.516196385891,NA
Beta,18507,0.059115964110455055,0.004831824909686721,NA,0.049645761307865584,0.06858616691304453,2020-09-02,2336,138.094892162023,1884.516196385891,111.4049918311196
Alpha,18507,3.4859000058358593e-10,8.526807607539162e-10,NA,-1.3226335808043037e-9,2.0198135819714755e-9,2020-09-02,2336,NA,1884.516196385891,NA
C.1.2,18507,1.0849394521645049e-30,9.978974474759458e-30,NA,-1.8473491121008532e-29,2.064337002533754e-29,2020-09-02,2336,NA,1884.516196385891,NA
Other,18507,0.9408840355409549,0.0048318249119964,NA,0.9314138327338386,0.9503542383480712,2020-09-02,2336,2197.9051070236706,1884.516196385891,1773.1112038978476
Omicron,18507,3.3488275629346576e-35,1.8157243505505931e-34,NA,-3.223871576638076e-34,3.893637089225007e-34,2020-09-02,2336,NA,1884.516196385891,NA
Delta,18508,1.9810212850065713e-23,6.022873639562056e-23,NA,-9.823594131970731e-23,1.3785636701983875e-22,2020-09-03,2420,NA,1836.559434234113,NA
Beta,18508,0.06243220516847776,0.005019323257038403,NA,0.05259451235791821,0.07226989797903731,2020-09-03,2420,151.08593650771618,1836.559434234113,114.66045540220757
Alpha,18508,4.1179790259581065e-10,9.994691730497768e-10,NA,-1.5471256802397823e-9,2.3707214854314034e-9,2020-09-03,2420,NA,1836.559434234113,NA
C.1.2,18508,1.6443197838820745e-30,1.5027432277056232e-29,NA,-2.780890625926287e-29,3.109754582702702e-29,2020-09-03,2420,NA,1836.559434234113,NA
Other,18508,0.9375677944197244,0.00501932325973857,NA,0.9277301016038726,0.9474054872355762,2020-09-03,2420,2268.914062495733,1836.559434234113,1721.8989780756142
Omicron,18508,3.813543432788636e-35,2.0658712186550357e-34,NA,-3.6676788419828768e-34,4.430387528540604e-34,2020-09-03,2420,NA,1836.559434234113,NA
Delta,18509,2.780395447397629e-23,8.396274793683719e-23,NA,-1.3676000752523927e-22,1.9236791647319187e-22,2020-09-04,2063,NA,1792.37832356327,NA
Beta,18509,0.06590785648671722,0.0052106511298266765,NA,0.055695167936253995,0.07612054503718045,2020-09-04,2063,135.96790793209763,1792.37832356327,118.13181331931081
Alpha,18509,4.861401461483842e-10,1.1706949207122896e-9,NA,-1.8083797353316772e-9,2.7806600276284456e-9,2020-09-04,2063,NA,1792.37832356327,NA
C.1.2,18509,2.489339426851573e-30,2.2604208780721422e-29,NA,-4.1814095682386453e-29,4.6792774536089593e-29,2020-09-04,2063,NA,1792.37832356327,NA
Other,18509,0.9340921430271427,0.0052106511329879784,NA,0.9238794544704835,0.944304831583802,2020-09-04,2063,1927.0320910649955,1792.37832356327,1674.2465093726123
Omicron,18509,4.342838308347054e-35,2.3505532221671445e-34,NA,-4.172715828357473e-34,5.0412834900268834e-34,2020-09-04,2063,NA,1792.37832356327,NA
Delta,18510,3.8985914665763114e-23,1.1693394919671296e-22,NA,-1.902004143298306e-22,2.681722436613568e-22,2020-09-05,1806,NA,1751.7094808821014,NA
Beta,18510,0.06954828283936607,0.005405610145666622,NA,0.05895348163939518,0.08014308403933695,2020-09-05,1806,125.60419880789512,1751.7094808821014,121.8283864287875
Alpha,18510,5.735119214393588e-10,1.3702656703494468e-9,NA,-2.112159441697191e-9,3.259183284575908e-9,2020-09-05,1806,NA,1751.7094808821014,NA
C.1.2,18510,3.764379562298057e-30,3.396204490162051e-29,NA,-6.280000528621028e-29,7.03287644108064e-29,2020-09-05,1806,NA,1751.7094808821014,NA
Other,18510,0.930451716587122,0.005405610149350001,NA,0.9198569153799319,0.9410465177943121,2020-09-05,1806,1680.3958001563424,1751.7094808821014,1629.8810934486876
Omicron,18510,4.945666091080696e-35,2.6745302069019703e-34,NA,-4.74741627198425e-34,5.736549490200389e-34,2020-09-05,1806,NA,1751.7094808821014,NA
Delta,18511,5.461190594130266e-23,1.6268978906197398e-22,NA,-2.642542212725847e-22,3.7347803315519e-22,2020-09-06,1633,NA,1714.3137132251381,NA
Beta,18511,0.07335882460646442,0.005603975985469515,NA,0.06237523350471682,0.08434241570821202,2020-09-06,1633,119.79496058235641,1714.3137132251381,125.76003900893966
Alpha,18511,6.761178337792917e-10,1.6026835250883584e-9,NA,-2.465084154009586e-9,3.817319821568169e-9,2020-09-06,1633,NA,1714.3137132251381,NA
C.1.2,18511,5.686021100488549e-30,5.096741319519341e-29,NA,-9.420827314726203e-29,1.0558031534823914e-28,2020-09-06,1633,NA,1714.3137132251381,NA
Other,18511,0.9266411747174178,0.005603975989786626,NA,0.9156575836072088,0.9376247658276268,2020-09-06,1633,1513.2050383135434,1714.3137132251381,1588.5536730571205
Omicron,18511,5.63221372256114e-35,3.0432138739361482e-34,NA,-5.401368217911351e-34,6.52781096242358e-34,2020-09-06,1633,NA,1714.3137132251381,NA
Delta,18512,7.642580513458254e-23,2.261206495916727e-22,NA,-3.6676252422589754e-22,5.196141344950626e-22,2020-09-07,845,NA,1679.9736049450935,NA
Beta,18512,0.07734477563355187,0.005805497627512118,NA,0.06596620937129538,0.08872334189580836,2020-09-07,845,65.35633541035133,1679.9736049450935,129.93718154476755
Alpha,18512,7.965198568653961e-10,1.8731298283428193e-9,NA,-2.8747471450542227e-9,4.467786858785015e-9,2020-09-07,845,NA,1679.9736049450935,NA
C.1.2,18512,8.578740632887515e-30,7.639760759729925e-29,NA,-1.411578187628426e-28,1.5831530002861765e-28,2020-09-07,845,NA,1679.9736049450935,NA
Other,18512,0.9226552235699282,0.0058054976325582494,NA,0.9112766572977815,0.934033789842075,2020-09-07,845,779.6436639165894,1679.9736049450935,1550.0364220621934
Omicron,18512,6.414068929964921e-35,3.4627559926839443e-34,NA,-6.14547013991428e-34,7.428283925907264e-34,2020-09-07,845,NA,1679.9736049450935,NA
Delta,18513,1.0684651425334185e-22,3.1396039836838154e-22,NA,-5.085045591205338e-22,7.221975876272174e-22,2020-09-08,1079,NA,1648.4913675769656,NA
Beta,18513,0.08151135941950158,0.0060098967209526915,NA,0.06973217829562894,0.09329054054337421,2020-09-08,1079,87.9507568136422,1648.4913675769656,134.37077236251173
Alpha,18513,9.376922332088037e-10,2.187561058504861e-9,NA,-3.349848655443041e-9,5.2252331218606485e-9,2020-09-08,1079,NA,1648.4913675769656,NA
C.1.2,18513,1.2928042914559428e-29,1.143798247388892e-28,NA,-2.1125229413166683e-28,2.371083799607857e-28,2020-09-08,1079,NA,1648.4913675769656,NA
Other,18513,0.9184886396428061,0.006009896726856186,NA,0.9067094585073628,0.9302678207782494,2020-09-08,1079,991.0492421745878,1648.4913675769656,1514.1205936686763
